ID	Date	Headline	sentiment
BN/WORLD/1156	May 10, 2025 9:28 pm 	ভারত-পাক শান্তি প্রক্রিয়াকে স্বাগত, সংঘর্ষবিরতির পরেই মুখ খুললেন রাষ্ট্রসংঘের মহাসচিব	Positive
BN/KOLKATA/1328	April 29, 2025 1:28 pm 	আদালতের বাইরে বিকাশরঞ্জনকে ‘হেনস্তা’য় স্বতঃপ্রণোদিত মামলা হাই কোর্টের, কবে শুনানি?	Negative
BN/FOOTBALL/1111	April 23, 2025 4:45 pm 	‘সন্ত্রাসবাদের বিরুদ্ধে আমরা ঐক্যবদ্ধ’, কাশ্মীর থেকে জানালেন প্রাক্তন ফুটবলার ইসফাক, প্রতিবাদ মেহরাজেরও	Positive
BN/CINEMA/1296	May 1, 2025 9:38 am 	পহেলগাঁওয়ের জের! ভারতে নিষিদ্ধ মাহিরা, আলি জাফর, হানিয়া আমিরদের ইনস্টাগ্রাম অ্যাকাউন্ট	Negative
BN/CRICKET/1433	April 26, 2025 5:12 pm 	‘যে কোনও দল ৩০০ করতে পারে’, পাঞ্জাব ম্যাচের আগে হুঙ্কার রিঙ্কুর, কেকেআর কি ‘তৈয়ার’?	Neutral
BN/CINEMA/1148	May 14, 2025 9:09 pm 	প্রাক্তন স্বামী নাগা ব্যস্ত নতুন বউ নিয়ে, নামী পরিচালক ‘প্রেমিক’কে দেখালেন সামান্থা!	Negative
BN/KOLKATA/1161	May 13, 2025 2:50 pm 	দিলীপ-রিঙ্কুর ছেলে সৃঞ্জয়ের রহস্যমৃত্যু! নিউটাউনে সাপুরজি আবাসন থেকে উদ্ধার দেহ	Negative
BN/CRICKET/1280	May 8, 2025 1:39 pm 	বাকি দুই ম্যাচ, এখনও কোন অঙ্কে প্লে অফে যেতে পারে কেকেআর?	Neutral
BN/BENGAL/1106	May 22, 2025 8:06 pm 	অমানবিক! প্রসবের পর যন্ত্রণায় চিৎকার, বাগদা হাসপাতালে প্রসূতিকে ‘মারধর’ আয়ার	Negative
BN/BENGAL/1073	May 24, 2025 10:37 am 	সপ্তাহান্তে দক্ষিণবঙ্গে প্রবল ঝড়বৃষ্টি, কেমন থাকবে কলকাতার আবহাওয়া?	Neutral
BN/INDIA/1022	May 26, 2025 11:50 am 	ফের বাড়ছে করোনার চোখরাঙানি, দেশজুড়ে কোভিড আক্রান্তের সংখ্যা হাজার পার!	Negative
BN/CRICKET/1249	May 10, 2025 7:43 pm 	আইপিএল স্থগিত তো কী! সময় কাটাতে চোখ রাখুন ক্রিকেট-ফুটবলের এই ম্যাচগুলিতে	Neutral
BN/KOLKATA/1095	May 18, 2025 8:42 am 	পাক পতাকার ক্রেতা-বিক্রেতা চিহ্নিত করতে নির্দেশ কলকাতার সিপির	Negative
BN/WORLD/1069	May 20, 2025 6:46 pm 	ভারত বিদ্বেষের পুরস্কার! সেনাপ্রধান আসিম মুনিরকে আরও বড় পদে বসাল পাকিস্তান	Negative
BN/INDIA/1196	May 21, 2025 1:55 pm 	‘আমাকে বিয়ে করবে?’ ISI চরকে প্রস্তাব দিয়েছিলেন সুন্দরী ‘দেশদ্রোহী’ জ্যোতি	Negative
BN/CRICKET/1121	May 18, 2025 9:23 pm 	‘জেলায় ক্রিকেট কোচিং করান’, বোলপুরে ‘দাদা’কে কাছে পেয়ে আবদার কেষ্টর	Neutral
BN/FOOTBALL/1110	April 23, 2025 11:52 pm 	সুপার কাপের প্রথম ম্যাচেই হার, ইন্টার কাশীর কাছে হেরে ফের ট্রফি অধরা সুনীলের	Negative
BN/FOOTBALL/1403	January 24, 2025 9:35 pm 	রিলায়েন্স ফাউন্ডেশন ইউথ স্পোর্টসে কলকাতা জোনের চ্যাম্পিয়ন বেঙ্গল ফুটবল অ্যাকাডেমি	Positive
BN/CRICKET/1182	May 14, 2025 7:24 pm 	‘রো-কো’ বিশ্বকাপে খেলবেন তো? আশঙ্কার প্রহর গুনছে সারা দেশ	Negative
BN/INDIA/1240	May 19, 2025 7:57 pm 	ভারত-পাক সংঘর্ষবিরতিতে আমেরিকার ভূমিকা ছিল না, সংসদীয় কমিটিতে সাফ জানালেন বিদেশসচিব	Neutral
BN/INDIA/1276	May 18, 2025 6:06 pm 	সাতদিন ঘরে আটকে রাখেন, খেতে দেননি জলও, স্ত্রীকে ‘নৃশংস হত্যায়’ আজীবন কারাদণ্ড স্বামীর	Negative
BN/FOOTBALL/1090	April 29, 2025 7:28 pm 	‘যাও, ৯০ মিনিট উপভোগ করো’, সুপার কাপ সেমির আগে মোহনবাগান কোচ যেন ‘চক দে’র কবির খান!	Positive
BN/CINEMA/1139	May 15, 2025 5:12 pm 	‘ওদেশে গেলে…’, পাকিস্তানি সাংবাদিককে কথার মারপ্যাঁচে ধুয়ে দিয়েছিলেন ইরফান খান	Positive
BN/CINEMA/1332	April 27, 2025 6:37 pm 	‘কাশ্মীরে না আসলে জঙ্গিরা জিতে যাবে’, বিমানের ফাঁকা আসনের ছবি পোস্ট করে বার্তা অতুল কুলকার্নির	Negative
BN/CRICKET/1146	May 17, 2025 11:51 am 	বেঙ্গালুরুতে কেকেআর-আরসিবি ম্যাচে ভোগাবে বৃষ্টি? বিরতির পর ধোঁয়াশা চিন্নাস্বামীর পিচ নিয়েও	Neutral
BN/FOOTBALL/1349	February 11, 2025 5:36 pm 	এশিয়ান কাপ কোয়ালিফায়ারে কোন মাঠে ভারত-বাংলাদেশ দ্বৈরথ? জানিয়ে দিল ফেডারেশন	Neutral
BN/CINEMA/1379	April 22, 2025 4:31 pm 	‘২ লক্ষ দেব, টাইগার শ্রফকে খুন করতে হবে’, মুম্বই পুলিশের কাছে হুমকি ফোন! দায়ের FIR	Negative
BN/INDIA/1442	May 13, 2025 4:06 pm 	৯ বছর আগে ভেঙেছিল জেল, মাথার দাম ১০ লক্ষ! ভারত-নেপাল সীমান্ত থেকে গ্রেপ্তার খলিস্তানি জঙ্গি	Negative
BN/SPORTS_OTHERS/1397	August 8, 2024 11:39 am 	Paris Olympics Day 13: অধরা সোনালী মাধুরী, অলিম্পিকে রুপো নীরজের, সোনাজয়ী নাদিম	Positive
BN/FOOTBALL/1325	February 21, 2025 9:00 pm 	‘স্পাইডারম্যানে’র কাঁধে বড় দায়িত্ব, ভারতীয় ফুটবল দলের ডিরেক্টর পদে আগমন সুব্রত পালের	Positive
BN/KOLKATA/1282	May 2, 2025 2:27 pm 	আর্বজনার স্তূপে বালতিতে পড়ে সদ্যোজাত! তুমুল শোরগোল তপসিয়ায়	Negative
BN/KOLKATA/1063	May 21, 2025 2:02 pm 	সরকারি আশ্বাসে আপাতত স্থগিত তিনদিনের বাস ধর্মঘট, স্বস্তিতে যাত্রীরা	Positive
BN/KOLKATA/1133	May 15, 2025 9:21 am 	স্ট্রোকের পরই ব্রেন ডেথ, কলকাতার হাসপাতালে প্রয়াত তেহট্টের বিধায়ক	Negative
BN/CRICKET/1220	May 12, 2025 3:46 pm 	কোহলিকে ‘অনুরোধ’, বাধ্য করা হল রোহিতকে? দু’জনের টেস্ট বিদায়ে দুই মেরুতে বোর্ড!	Negative
BN/INDIA/1455	May 13, 2025 1:13 pm 	বেসাতি চাপে বন্ধ অপারেশন সিঁদুর! ট্রাম্পের হুমকি নিয়ে মোদির নীরবতাকে তোপ কংগ্রেসের	Negative
BN/WORLD/1175	May 9, 2025 6:27 pm 	ভারত-পাক সংঘাতে নাক গলাচ্ছে চিন! ‘রাষ্ট্রসংঘের সনদ মেনে চলুন’, সন্ত্রাসের নিন্দা করেও বার্তা বেজিংয়ের	Negative
BN/BENGAL/1358	May 12, 2025 1:38 pm 	সেনাবাহিনীর পোশাকে দুই তরুণীর ভাইরাল ভিডিও, সাইবার থানায় অভিযোগ দায়ের	Negative
BN/WORLD/1291	April 27, 2025 11:36 am 	কানাডায় ‘লোন উলফ’ হামলা! উৎসবের ভিড়ে ঢুকে জনতাকে পিষল বেপরোয়া গাড়ি, মৃত ৯	Negative
